ObjectId,Country,Unit,Date,Amount
395,World,Parts Per Million,1975-02-01,331.46
396,World,Percent,1975-02-01,0.23
397,World,Parts Per Million,1975-03-01,331.94
398,World,Percent,1975-03-01,0.14
399,World,Parts Per Million,1975-04-01,333.11
400,World,Percent,1975-04-01,0.14
401,World,Parts Per Million,1975-05-01,333.95
402,World,Percent,1975-05-01,0.23
403,World,Parts Per Million,1975-06-01,333.42
404,World,Percent,1975-06-01,0.37
405,World,Parts Per Million,1975-07-01,331.97
406,World,Percent,1975-07-01,0.27
407,World,Parts Per Million,1975-08-01,329.95
408,World,Percent,1975-08-01,0.24
409,World,Parts Per Million,1975-09-01,328.5
410,World,Percent,1975-09-01,0.36
411,World,Parts Per Million,1975-10-01,328.36
412,World,Percent,1975-10-01,0.33
413,World,Parts Per Million,1975-11-01,329.38
414,World,Percent,1975-11-01,0.33
415,World,Parts Per Million,1975-12-01,330.79
416,World,Percent,1975-12-01,0.37
417,World,Parts Per Million,1976-01-01,331.56
418,World,Percent,1976-01-01,0.25
419,World,Parts Per Million,1976-02-01,332.74
420,World,Percent,1976-02-01,0.39
421,World,Parts Per Million,1976-03-01,333.36
422,World,Percent,1976-03-01,0.43
423,World,Parts Per Million,1976-04-01,334.74
424,World,Percent,1976-04-01,0.49
425,World,Parts Per Million,1976-05-01,334.72
426,World,Percent,1976-05-01,0.23
427,World,Parts Per Million,1976-06-01,333.98
428,World,Percent,1976-06-01,0.17
429,World,Parts Per Million,1976-07-01,333.08
430,World,Percent,1976-07-01,0.33
431,World,Parts Per Million,1976-08-01,330.68
432,World,Percent,1976-08-01,0.22
433,World,Parts Per Million,1976-09-01,328.96
434,World,Percent,1976-09-01,0.14
435,World,Parts Per Million,1976-10-01,328.72
436,World,Percent,1976-10-01,0.11
437,World,Parts Per Million,1976-11-01,330.16
438,World,Percent,1976-11-01,0.24
439,World,Parts Per Million,1976-12-01,331.62
440,World,Percent,1976-12-01,0.25
441,World,Parts Per Million,1977-01-01,332.68
442,World,Percent,1977-01-01,0.34
443,World,Parts Per Million,1977-02-01,333.17
444,World,Percent,1977-02-01,0.13
445,World,Parts Per Million,1977-03-01,334.96
446,World,Percent,1977-03-01,0.48
447,World,Parts Per Million,1977-04-01,336.14
448,World,Percent,1977-04-01,0.42
449,World,Parts Per Million,1977-05-01,336.93
450,World,Percent,1977-05-01,0.66
451,World,Parts Per Million,1977-06-01,336.17
452,World,Percent,1977-06-01,0.66
453,World,Parts Per Million,1977-07-01,334.89
454,World,Percent,1977-07-01,0.54
455,World,Parts Per Million,1977-08-01,332.56
456,World,Percent,1977-08-01,0.57
457,World,Parts Per Million,1977-09-01,331.29
458,World,Percent,1977-09-01,0.71
459,World,Parts Per Million,1977-10-01,331.28
460,World,Percent,1977-10-01,0.78
461,World,Parts Per Million,1977-11-01,332.46
462,World,Percent,1977-11-01,0.7
463,World,Parts Per Million,1977-12-01,333.6
464,World,Percent,1977-12-01,0.6
465,World,Parts Per Million,1978-01-01,334.94
466,World,Percent,1978-01-01,0.68
467,World,Parts Per Million,1978-02-01,335.26
468,World,Percent,1978-02-01,0.63
469,World,Parts Per Million,1978-03-01,336.66
470,World,Percent,1978-03-01,0.51
471,World,Parts Per Million,1978-04-01,337.69
472,World,Percent,1978-04-01,0.46
473,World,Parts Per Million,1978-05-01,338.02
474,World,Percent,1978-05-01,0.32
475,World,Parts Per Million,1978-06-01,338.01
476,World,Percent,1978-06-01,0.55
477,World,Parts Per Million,1978-07-01,336.5
478,World,Percent,1978-07-01,0.48
479,World,Parts Per Million,1978-08-01,334.42
480,World,Percent,1978-08-01,0.56
481,World,Parts Per Million,1978-09-01,332.36
482,World,Percent,1978-09-01,0.32
483,World,Parts Per Million,1978-10-01,332.45
484,World,Percent,1978-10-01,0.35
485,World,Parts Per Million,1978-11-01,333.76
486,World,Percent,1978-11-01,0.39
487,World,Parts Per Million,1978-12-01,334.91
488,World,Percent,1978-12-01,0.39
489,World,Parts Per Million,1979-01-01,336.14
490,World,Percent,1979-01-01,0.36
491,World,Parts Per Million,1979-02-01,336.69
492,World,Percent,1979-02-01,0.43
493,World,Parts Per Million,1979-03-01,338.27
494,World,Percent,1979-03-01,0.48
495,World,Parts Per Million,1979-04-01,338.82
496,World,Percent,1979-04-01,0.33
497,World,Parts Per Million,1979-05-01,339.24
498,World,Percent,1979-05-01,0.36
499,World,Parts Per Million,1979-06-01,339.26
500,World,Percent,1979-06-01,0.37
501,World,Parts Per Million,1979-07-01,337.54
502,World,Percent,1979-07-01,0.31
503,World,Parts Per Million,1979-08-01,335.72
504,World,Percent,1979-08-01,0.39
505,World,Parts Per Million,1979-09-01,333.97
506,World,Percent,1979-09-01,0.48
507,World,Parts Per Million,1979-10-01,334.24
508,World,Percent,1979-10-01,0.54
509,World,Parts Per Million,1979-11-01,335.32
510,World,Percent,1979-11-01,0.47
