ObjectId,Country,Unit,Amount,year
447,World,Parts Per Million,336.14,1977
448,World,Percent,0.42,1977
449,World,Parts Per Million,336.93,1977
450,World,Percent,0.66,1977
451,World,Parts Per Million,336.17,1977
452,World,Percent,0.66,1977
453,World,Parts Per Million,334.89,1977
454,World,Percent,0.54,1977
455,World,Parts Per Million,332.56,1977
456,World,Percent,0.57,1977
457,World,Parts Per Million,331.29,1977
458,World,Percent,0.71,1977
459,World,Parts Per Million,331.28,1977
460,World,Percent,0.78,1977
461,World,Parts Per Million,332.46,1977
462,World,Percent,0.7,1977
463,World,Parts Per Million,333.6,1977
464,World,Percent,0.6,1977
465,World,Parts Per Million,334.94,1978
466,World,Percent,0.68,1978
467,World,Parts Per Million,335.26,1978
468,World,Percent,0.63,1978
469,World,Parts Per Million,336.66,1978
470,World,Percent,0.51,1978
471,World,Parts Per Million,337.69,1978
472,World,Percent,0.46,1978
473,World,Parts Per Million,338.02,1978
474,World,Percent,0.32,1978
475,World,Parts Per Million,338.01,1978
476,World,Percent,0.55,1978
477,World,Parts Per Million,336.5,1978
478,World,Percent,0.48,1978
479,World,Parts Per Million,334.42,1978
480,World,Percent,0.56,1978
481,World,Parts Per Million,332.36,1978
482,World,Percent,0.32,1978
483,World,Parts Per Million,332.45,1978
484,World,Percent,0.35,1978
485,World,Parts Per Million,333.76,1978
486,World,Percent,0.39,1978
487,World,Parts Per Million,334.91,1978
488,World,Percent,0.39,1978
489,World,Parts Per Million,336.14,1979
490,World,Percent,0.36,1979
491,World,Parts Per Million,336.69,1979
492,World,Percent,0.43,1979
493,World,Parts Per Million,338.27,1979
494,World,Percent,0.48,1979
495,World,Parts Per Million,338.82,1979
496,World,Percent,0.33,1979
497,World,Parts Per Million,339.24,1979
498,World,Percent,0.36,1979
499,World,Parts Per Million,339.26,1979
500,World,Percent,0.37,1979
501,World,Parts Per Million,337.54,1979
502,World,Percent,0.31,1979
503,World,Parts Per Million,335.72,1979
504,World,Percent,0.39,1979
505,World,Parts Per Million,333.97,1979
506,World,Percent,0.48,1979
507,World,Parts Per Million,334.24,1979
508,World,Percent,0.54,1979
509,World,Parts Per Million,335.32,1979
510,World,Percent,0.47,1979
511,World,Parts Per Million,336.81,1979
512,World,Percent,0.57,1979
513,World,Parts Per Million,337.9,1980
514,World,Percent,0.52,1980
515,World,Parts Per Million,338.34,1980
516,World,Percent,0.49,1980
517,World,Parts Per Million,340.07,1980
518,World,Percent,0.53,1980
519,World,Parts Per Million,340.93,1980
520,World,Percent,0.62,1980
521,World,Parts Per Million,341.45,1980
522,World,Percent,0.65,1980
523,World,Parts Per Million,341.36,1980
524,World,Percent,0.62,1980
525,World,Parts Per Million,339.45,1980
526,World,Percent,0.57,1980
527,World,Parts Per Million,337.67,1980
528,World,Percent,0.58,1980
529,World,Parts Per Million,336.25,1980
530,World,Percent,0.68,1980
531,World,Parts Per Million,336.14,1980
532,World,Percent,0.57,1980
533,World,Parts Per Million,337.3,1980
534,World,Percent,0.59,1980
535,World,Parts Per Million,338.29,1980
536,World,Percent,0.44,1980
537,World,Parts Per Million,339.29,1981
538,World,Percent,0.41,1981
539,World,Parts Per Million,340.55,1981
540,World,Percent,0.65,1981
541,World,Parts Per Million,341.63,1981
542,World,Percent,0.46,1981
543,World,Parts Per Million,342.6,1981
544,World,Percent,0.49,1981
545,World,Parts Per Million,343.04,1981
546,World,Percent,0.47,1981
547,World,Parts Per Million,342.54,1981
