ObjectId,Country,Unit,Measure,Amount,Year
307,World,Millimeters,North Sea,-99.69,1993
308,World,Millimeters,Pacific Ocean,-12.88,1993
309,World,Millimeters,Persian Gulf,-57.57,1993
310,World,Millimeters,Sea Japan,-19.25,1993
311,World,Millimeters,South China,-98.3,1993
312,World,Millimeters,Southern Ocean,-7.43,1993
313,World,Millimeters,Tropics,-15.64,1993
314,World,Millimeters,World,-19.75,1993
315,World,Millimeters,Adriatic Sea,-91.11,1993
316,World,Millimeters,Arabian Sea,64.54,1993
317,World,Millimeters,Atlantic Ocean,-28.61,1993
318,World,Millimeters,Bering Sea,-20.45,1993
319,World,Millimeters,Caribbean Sea,-39.18,1993
320,World,Millimeters,Gulf Mexico,-63.45,1993
321,World,Millimeters,Indonesian,-69.29,1993
322,World,Millimeters,North Atlantic,-69.73,1993
323,World,Millimeters,North Pacific,-37.51,1993
324,World,Millimeters,Sea Okhotsk,-23.69,1993
325,World,Millimeters,Yellow Sea,-52.91,1993
326,World,Millimeters,Andaman Sea,-10.74,1993
327,World,Millimeters,Arabian Sea,75.24,1993
328,World,Millimeters,Atlantic Ocean,-29.31,1993
329,World,Millimeters,Baltic Sea,-141.45,1993
330,World,Millimeters,Bay Bengal,24.77,1993
331,World,Millimeters,Gulf Mexico,-57.65,1993
332,World,Millimeters,Indian Ocean,1.27,1993
333,World,Millimeters,Indonesian,-91.19,1993
334,World,Millimeters,Mediterranean,-55.08,1993
335,World,Millimeters,Nino,-13.53,1993
336,World,Millimeters,North Pacific,-39.61,1993
337,World,Millimeters,North Sea,-102.59,1993
338,World,Millimeters,Pacific Ocean,-19.68,1993
339,World,Millimeters,Persian Gulf,-48.87,1993
340,World,Millimeters,Sea Japan,-56.95,1993
341,World,Millimeters,Sea Okhotsk,-32.79,1993
342,World,Millimeters,South China,-80.3,1993
343,World,Millimeters,Southern Ocean,-4.93,1993
344,World,Millimeters,Tropics,-16.24,1993
345,World,Millimeters,World,-19.55,1993
346,World,Millimeters,Adriatic Sea,-66.61,1993
347,World,Millimeters,Bering Sea,-29.65,1993
348,World,Millimeters,Caribbean Sea,-44.78,1993
349,World,Millimeters,North Atlantic,-68.73,1993
350,World,Millimeters,Yellow Sea,-36.51,1993
351,World,Millimeters,Baltic Sea,-210.25,1993
352,World,Millimeters,Andaman Sea,28.36,1993
353,World,Millimeters,Arabian Sea,74.74,1993
354,World,Millimeters,Atlantic Ocean,-20.21,1993
355,World,Millimeters,Bay Bengal,21.97,1993
356,World,Millimeters,Bering Sea,-3.35,1993
357,World,Millimeters,Gulf Mexico,-38.25,1993
358,World,Millimeters,Indian Ocean,-0.03,1993
359,World,Millimeters,Indonesian,-101.39,1993
360,World,Millimeters,Mediterranean,-50.18,1993
361,World,Millimeters,Nino,-11.43,1993
362,World,Millimeters,North Pacific,-38.01,1993
363,World,Millimeters,North Sea,-144.89,1993
364,World,Millimeters,Pacific Ocean,-18.08,1993
365,World,Millimeters,Persian Gulf,-83.57,1993
366,World,Millimeters,Sea Japan,-41.35,1993
367,World,Millimeters,Sea Okhotsk,-25.59,1993
368,World,Millimeters,South China,-83.5,1993
369,World,Millimeters,Southern Ocean,-6.83,1993
370,World,Millimeters,Tropics,-12.94,1993
371,World,Millimeters,World,-16.85,1993
372,World,Millimeters,Adriatic Sea,-62.41,1993
373,World,Millimeters,Caribbean Sea,-45.18,1993
374,World,Millimeters,North Atlantic,-55.73,1993
375,World,Millimeters,Yellow Sea,-34.31,1993
376,World,Millimeters,Baltic Sea,-261.25,1993
377,World,Millimeters,Andaman Sea,-5.64,1993
378,World,Millimeters,Arabian Sea,68.74,1993
379,World,Millimeters,Atlantic Ocean,-28.21,1993
380,World,Millimeters,Bay Bengal,34.37,1993
381,World,Millimeters,Bering Sea,-12.95,1993
382,World,Millimeters,Caribbean Sea,-36.98,1993
383,World,Millimeters,Gulf Mexico,-26.45,1993
384,World,Millimeters,Indian Ocean,-4.63,1993
385,World,Millimeters,Indonesian,-108.29,1993
386,World,Millimeters,Mediterranean,-36.28,1993
387,World,Millimeters,Nino,-17.43,1993
388,World,Millimeters,North Atlantic,-52.13,1993
389,World,Millimeters,North Pacific,-50.81,1993
390,World,Millimeters,North Sea,-78.69,1993
391,World,Millimeters,Pacific Ocean,-22.18,1993
392,World,Millimeters,Persian Gulf,-116.77,1993
393,World,Millimeters,Sea Japan,-49.65,1993
394,World,Millimeters,Sea Okhotsk,-14.59,1993
395,World,Millimeters,South China,-85.5,1993
396,World,Millimeters,Southern Ocean,-15.93,1993
397,World,Millimeters,Tropics,-16.54,1993
398,World,Millimeters,World,-21.75,1993
399,World,Millimeters,Yellow Sea,-60.81,1993
400,World,Millimeters,Adriatic Sea,-60.61,1993
401,World,Millimeters,Baltic Sea,-195.95,1993
402,World,Millimeters,Andaman Sea,44.16,1993
403,World,Millimeters,Arabian Sea,58.54,1993
404,World,Millimeters,Atlantic Ocean,-41.01,1993
405,World,Millimeters,Bay Bengal,25.47,1993
406,World,Millimeters,Gulf Mexico,-35.75,1993
407,World,Millimeters,Indian Ocean,-11.63,1993
408,World,Millimeters,Indonesian,-111.29,1993
409,World,Millimeters,Mediterranean,-40.48,1993
410,World,Millimeters,Nino,-29.83,1993
411,World,Millimeters,North Atlantic,-58.33,1993
412,World,Millimeters,North Pacific,-50.01,1993
413,World,Millimeters,North Sea,-61.29,1993
414,World,Millimeters,Pacific Ocean,-22.08,1993
415,World,Millimeters,Persian Gulf,-72.37,1993
416,World,Millimeters,Sea Japan,-38.05,1993
417,World,Millimeters,Sea Okhotsk,-14.89,1993
418,World,Millimeters,South China,-106.7,1993
419,World,Millimeters,Southern Ocean,-20.23,1993
420,World,Millimeters,Tropics,-23.44,1993
421,World,Millimeters,World,-26.45,1993
422,World,Millimeters,Adriatic Sea,-48.41,1993
423,World,Millimeters,Bering Sea,-10.85,1993
424,World,Millimeters,Caribbean Sea,-37.38,1993
425,World,Millimeters,Yellow Sea,-60.11,1993
426,World,Millimeters,Baltic Sea,-106.55,1993
427,World,Millimeters,Bay Bengal,16.87,1993
428,World,Millimeters,Andaman Sea,82.86,1993
429,World,Millimeters,Arabian Sea,37.94,1993
430,World,Millimeters,Atlantic Ocean,-31.61,1993
431,World,Millimeters,Bering Sea,-2.15,1993
432,World,Millimeters,Caribbean Sea,-7.68,1993
433,World,Millimeters,Gulf Mexico,0.15,1993
434,World,Millimeters,Indian Ocean,-15.33,1993
435,World,Millimeters,Indonesian,-107.99,1993
436,World,Millimeters,Mediterranean,-41.78,1993
437,World,Millimeters,Nino,-29.13,1993
438,World,Millimeters,North Atlantic,-40.63,1993
439,World,Millimeters,North Pacific,-36.11,1993
440,World,Millimeters,North Sea,-59.59,1993
441,World,Millimeters,Pacific Ocean,-19.98,1993
442,World,Millimeters,Persian Gulf,-81.07,1993
443,World,Millimeters,Sea Japan,-99.75,1993
444,World,Millimeters,Sea Okhotsk,-37.19,1993
445,World,Millimeters,South China,-95.4,1993
446,World,Millimeters,Southern Ocean,-26.23,1993
447,World,Millimeters,Tropics,-18.54,1993
448,World,Millimeters,World,-23.45,1993
449,World,Millimeters,Adriatic Sea,-60.21,1993
450,World,Millimeters,Yellow Sea,-58.11,1993
451,World,Millimeters,Baltic Sea,-4.55,1993
452,World,Millimeters,North Sea,-39.59,1993
453,World,Millimeters,Sea Okhotsk,-18.19,1993
454,World,Millimeters,Andaman Sea,63.66,1993
455,World,Millimeters,Arabian Sea,28.04,1993
456,World,Millimeters,Atlantic Ocean,-38.61,1993
457,World,Millimeters,Bay Bengal,17.87,1993
458,World,Millimeters,Bering Sea,20.65,1993
459,World,Millimeters,Caribbean Sea,-34.58,1993
460,World,Millimeters,Gulf Mexico,8.95,1993
461,World,Millimeters,Indian Ocean,-17.23,1993
462,World,Millimeters,Indonesian,-113.89,1993
463,World,Millimeters,Mediterranean,-45.08,1993
464,World,Millimeters,Nino,-26.53,1993
465,World,Millimeters,North Atlantic,-45.73,1993
466,World,Millimeters,North Pacific,-20.51,1993
467,World,Millimeters,Pacific Ocean,-5.98,1993
468,World,Millimeters,Persian Gulf,-100.37,1993
469,World,Millimeters,Sea Japan,-90.15,1993
470,World,Millimeters,South China,-96.8,1993
471,World,Millimeters,Southern Ocean,-17.83,1993
472,World,Millimeters,Tropics,-16.54,1993
473,World,Millimeters,World,-18.65,1993
474,World,Millimeters,Adriatic Sea,-69.51,1993
475,World,Millimeters,Yellow Sea,-42.71,1993
476,World,Millimeters,Baltic Sea,82.55,1993
477,World,Millimeters,Persian Gulf,16.93,1993
478,World,Millimeters,Adriatic Sea,-89.61,1993
479,World,Millimeters,Andaman Sea,70.06,1993
480,World,Millimeters,Bay Bengal,14.07,1993
481,World,Millimeters,Gulf Mexico,-0.35,1993
482,World,Millimeters,Indonesian,-119.79,1993
483,World,Millimeters,Mediterranean,-36.48,1993
484,World,Millimeters,North Sea,-13.49,1993
485,World,Millimeters,Sea Japan,-59.55,1993
486,World,Millimeters,Sea Okhotsk,-17.89,1993
487,World,Millimeters,South China,-75,1993
