country_code,latitude,longitude,Country,ISO3,ISO2,Unit,Year,Temp(C)
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1970,0.082
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1971,-0.269
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1972,-0.179
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1973,0.17
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1974,-0.37
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1975,-0.334
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1976,-0.426
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1977,0.096
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1978,0.13
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1979,0.034
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1980,0.698
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1981,0.532
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1982,0.097
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1983,0.524
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1984,0.105
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1985,0.006
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1986,0.013
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1987,0.569
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1988,0.457
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1989,-0.002
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1990,0.432
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1991,0.441
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1992,0.365
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1993,0.535
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1994,0.575
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1995,0.651
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1996,0.35
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1997,0.459
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1998,1.06
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1999,0.532
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2000,0.264
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2001,0.587
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2002,0.706
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2003,0.816
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2004,0.521
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2005,0.828
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2006,0.691
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2007,0.957
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2008,0.411
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2009,0.566
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2010,1.09
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2011,0.489
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2012,0.64
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2013,0.77
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2014,0.814
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2015,1.051
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2016,1.125
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2017,0.96
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2018,0.664
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2019,0.843
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2020,1.224
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2021,0.893
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2022,0.839
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1961,0.627
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1962,0.326
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1963,0.075
